entry_stop,mode,route,,,,,,,
Haverford Av & Lancaster Av,Bus,43,,,,,,,
35th St & Spring Garden St,Bus,31,,,,,,,
Spring Garden St & 22nd St,Bus,43,,,,,,,
Haverford Av & 38th St,Bus,43,,,,,,,
Broad St & Spring Garden St,Bus,4,,,,,,,
Broad St & Vine St - FS,Bus,4,,,,,,,
11th St Station - MFL,Subway,MFL,,,,,,,
11th St & McKean St,Bus,45,,,,,,,
11th St & Ellsworth St,Bus,45,,,,,,,
7th St & Market St,Bus,47,,,,,,,
Market St & 22nd St,Bus,31,,,,,,,
35th St & Spring Garden St,Bus,31,,,,,,,
8th St Station - MFL,Subway,MFL,,,,,,,
7th St & Washington Av,Bus,47,,,,,,,
41st St & Spring Garden Av,Bus,40,,,,,,,
Broad St & S Penn Square,Bus,31,,,,,,,
Fairmount Av & 23rd St,Bus,49,,,,,,,
Spring Garden St & 38th St,Bus,43,,,,,,,
Walnut St & 12th St,Bus,21,,,,,,,
Lancaster Av & 38th St,Trolley,10,,,,,,,
Walnut St & 33rd St,Bus,21,,,,,,,
41st St & Spring Garden Av,Bus,40,,,,,,,
2nd St Station - MFL,Subway,MFL,,,,,,,
Spruce St & 38th St,Bus,42,,,,,,,
41st St & Spring Garden Av,Bus,30,,,,,,,
41st St & Spring Garden Av,Bus,30,,,,,,,
41st St & Spring Garden Av,Bus,40,,,,,,,
Walnut St & 11th St,Bus,21,,,,,,,
Lancaster Av & 38th St,Trolley,10,,,,,,,
Haverford Av & Lancaster Av,Bus,43,,,,,,,
Spring Garden St & 22nd St,Bus,43,,,,,,,
Haverford Av & 38th St,Bus,43,,,,,,,
41st St & Spring Garden Av,Bus,40,,,,,,,
Lancaster Av & Spring Garden St,Trolley,10,,,,,,,
34th St & Walnut St - FS,Bus,49,,,,,,,
Walnut St & 44th St,Bus,21,,,,,,,
41st St & Spring Garden Av,Bus,30,,,,,,,
Walnut St & 10th St,Bus,42,,,,,,,
Walnut St & 16th St,Bus,21,,,,,,,
40th St Trolley Portal,Trolley,13,,,,,,,
Spruce St & 44th St,Bus,42,,,,,,,
Broad St & S Penn Square,Bus,4,,,,,,,
Spruce St & 40th St,Bus,42,,,,,,,
Spruce St & 44th St,Bus,42,,,,,,,
34th St & Walnut St - FS,Bus,42,,,,,,,
