codes,names,borough,population,hectare,sq_km,pop_per_hectare,pop_sq_km
E09000001,City of London,City of London,"8,289",315.1,3.2,26.3,"2,631"
E05000026,Abbey,Barking and Dagenham,"17,574",127.9,1.3,137.4,"13,740"
E05000027,Alibon,Barking and Dagenham,"11,324",136.1,1.4,83.2,"8,320"
E05000028,Becontree,Barking and Dagenham,"14,751",128.4,1.3,114.9,"11,488"
E05000029,Chadwell Heath,Barking and Dagenham,"11,240",338,3.4,33.3,"3,325"
E05000030,Eastbrook,Barking and Dagenham,"10,964",345.4,3.5,31.7,"3,174"
E05000031,Eastbury,Barking and Dagenham,"12,263",144.5,1.4,84.9,"8,487"
E05000032,Gascoigne,Barking and Dagenham,"17,432",113.4,1.1,153.7,"15,372"
E05000033,Goresbrook,Barking and Dagenham,"12,496",128,1.3,97.6,"9,763"
E05000034,Heath,Barking and Dagenham,"11,832",200.5,2.0,59.0,"5,901"
E05000035,Longbridge,Barking and Dagenham,"12,153",164,1.6,74.1,"7,410"
E05000036,Mayesbrook,Barking and Dagenham,"11,317",185.1,1.9,61.1,"6,114"
E05000037,Parsloes,Barking and Dagenham,"10,306",124.3,1.2,82.9,"8,291"
E05000038,River,Barking and Dagenham,"14,146",355.2,3.6,39.8,"3,983"
E05000039,Thames,Barking and Dagenham,"21,082",788.4,7.9,26.7,"2,674"
E05000040,Valence,Barking and Dagenham,"11,709",129.3,1.3,90.6,"9,056"
E05000041,Village,Barking and Dagenham,"11,043",214,2.1,51.6,"5,160"
E05000042,Whalebone,Barking and Dagenham,"12,771",155.4,1.6,82.2,"8,218"
E05000043,Brunswick Park,Barnet,"16,787",317.4,3.2,52.9,"5,289"
E05000044,Burnt Oak,Barnet,"20,202",206.4,2.1,97.9,"9,788"
E05000045,Childs Hill,Barnet,"22,858",308.9,3.1,74.0,"7,400"
E05000046,Colindale,Barnet,"33,098",264.2,2.6,125.3,"12,528"
E05000047,Coppetts,Barnet,"17,726",272,2.7,65.2,"6,517"
E05000048,East Barnet,Barnet,"17,771",375.2,3.8,47.4,"4,736"
E05000049,East Finchley,Barnet,"17,268",252.4,2.5,68.4,"6,842"
E05000050,Edgware,Barnet,"21,591",556,5.6,38.8,"3,883"
E05000051,Finchley Church End,Barnet,"17,095",270.9,2.7,63.1,"6,310"
