ward_code,ward_name,observation
E05009317,Bethnal Green,17378
E05009318,Blackwall & Cubitt Town,15881.7
E05009319,Bow East,10472.5
E05009320,Bow West,10203.2
E05009321,Bromley North,19297.5
E05009322,Bromley South,20308.3
E05009323,Canary Wharf,12716.5
E05009324,Island Gardens,14398.8
E05009325,Lansbury,17080.6
E05009326,Limehouse,16863.1
E05009327,Mile End (Tower Hamlets),17820.6
E05009328,Poplar (Tower Hamlets),11615.1
E05009329,St Dunstan's,21714
E05009330,St Katharine's & Wapping,11300
E05009331,St Peter's (Tower Hamlets),18248
E05009332,Shadwell,20659.7
E05009333,Spitalfields & Banglatown,14640
E05009334,Stepney Green,19042
E05009335,Weavers,19711.8
E05009336,Whitechapel,19622
E05009367,Brownswood,18679.8
E05009368,Cazenove,20676.9
E05009369,Clissold,12445.6
E05009370,Dalston,16598.1
E05009371,De Beauvoir,15495.4
E05009372,Hackney Central,16342
E05009373,Hackney Downs,12761.9
E05009374,Hackney Wick,7530.1
E05009375,Haggerston,16615.5
E05009376,Homerton,17245.1
E05009377,Hoxton East & Shoreditch,11521.4
E05009378,Hoxton West,21222.2
E05009379,King's Park,6817.5
E05009380,Lea Bridge (Hackney),13330.8
E05009381,London Fields,12462.7
E05009382,Shacklewell,21110.6
E05009383,Springfield,12626.9
E05009384,Stamford Hill West,15444.9
E05009385,Stoke Newington,13913.5
E05009386,Victoria (Hackney),15989.2
E05009387,Woodberry Down,13753.8
E05009388,Abingdon,13117.3
E05009389,Brompton & Hans Town,7292.4
E05009390,Campden,8423.5
E05009391,Chelsea Riverside,14174.6
E05009392,Colville,17501.5
E05009393,Courtfield,13563.4
E05009394,Dalgarno,8104.3
E05009395,Earl's Court,18526.1
E05009396,Golborne,15759
E05009397,Holland,9261.3
E05009398,Norland,10969.8
E05009399,Notting Dale,16410.5
E05009400,Pembridge,13922.4
E05009401,Queen's Gate,13579.5
E05009402,Redcliffe,12797.9
E05009403,Royal Hospital,9255.6
E05009404,St. Helen's (Kensington and Chelsea),12877.5
E05009405,Stanley (Kensington and Chelsea),11847.3
E05011095,Borough & Bankside,8885.1
E05011096,Camberwell Green,16694.3
E05011097,Champion Hill,8762.5
E05011098,Chaucer,19627
E05011099,Dulwich Hill,9605.4
E05011100,Dulwich Village,3912.8
E05011101,Dulwich Wood,3507.7
E05011102,Faraday,11317.4
E05011103,Goose Green,11780.2
E05011104,London Bridge & West Bermondsey,13013.5
E05011105,Newington (Southwark),17252.3
E05011106,North Bermondsey,16337.4
E05011107,North Walworth,19902
E05011108,Nunhead & Queen's Road,11808.4
E05011109,Old Kent Road,11473.6
E05011110,Peckham,17290.7
E05011111,Peckham Rye,5367.8
E05011112,Rotherhithe,11071.2
E05011113,Rye Lane,11379.9
E05011114,St George's (Southwark),14731.7
E05011115,St Giles,14211.2
E05011116,South Bermondsey,13277.5
E05011117,Surrey Docks,10318.9
E05011217,Barnehurst,5481.3
E05011218,Belvedere,3577.4
E05011219,Bexleyheath,4307.7
E05011220,Blackfen & Lamorbey,5756.3
E05011221,Blendon & Penhill,4633
E05011222,Crayford,3189.7
E05011223,Crook Log,5698.8
E05011224,East Wickham,5648.1
E05011225,Erith,5437.4
E05011226,Falconwood & Welling,5082.7
E05011227,Longlands,5334
E05011228,Northumberland Heath,6502.3
E05011229,St Mary's & St James (Bexley),1228.8
E05011230,Sidcup,3864.2
E05011231,Slade Green & Northend,2944.3
E05011232,Thamesmead East,3720.4
E05011233,West Heath (Bexley),6702.8
E05011234,Aldborough,1819.4
E05011235,Barkingside,9403
E05011236,Bridge (Redbridge),3879.1
E05011237,Chadwell,10624.8
E05011238,Churchfields,7792.3
E05011239,Clayhall,5692.4
E05011240,Clementswood,15013.9
E05011241,Cranbrook (Redbridge),8879.2
E05011242,Fairlop,5125.6
E05011243,Fullwell,5563.2
E05011244,Goodmayes,8420.2
E05011245,Hainault,2777.5
E05011246,Ilford Town,11628.1
E05011247,Loxford,14173.4
E05011248,Mayfield,8750.7
E05011249,Monkhams,3391.3
E05011250,Newbury,8291.2
E05011251,Seven Kings,8283.9
E05011252,South Woodford,6289.5
E05011253,Valentines,8450.4
E05011254,Wanstead Park,1702.9
E05011255,Wanstead Village,5544.5
E05011462,Addiscombe East,7441.7
E05011463,Addiscombe West,12068.5
E05011464,Bensham Manor,11750.3
E05011465,Broad Green,10359.1
E05011466,Coulsdon Town,3410.4
E05011467,Crystal Palace & Upper Norwood,6326.7
E05011468,Fairfield (Croydon),10456.6
E05011469,Kenley,2113.8
E05011470,New Addington North,7729.7
E05011471,New Addington South,4552.5
E05011472,Norbury & Pollards Hill,9060.1
E05011473,Norbury Park,4791.8
E05011474,Old Coulsdon,1457.8
E05011475,Park Hill & Whitgift,2911.6
E05011476,Purley & Woodcote,2978.9
E05011477,Purley Oaks & Riddlesdown,3963.4
E05011478,Sanderstead,2092.8
E05011479,Selhurst,10084.1
E05011480,Selsdon & Addington Village,1905.2
E05011481,Selsdon Vale & Forestdale,2039.3
E05011482,Shirley North,4954
E05011483,Shirley South (Croydon),2334.2
E05011484,South Croydon,4580
E05011485,South Norwood,7681.6
E05011486,Thornton Heath,10440.8
E05011487,Waddon,4766.7
E05011488,West Thornton,9519.1
E05011489,Woodside (Croydon),7845.4
E05013496,Alperton,8167.5
E05013497,Barnhill,5322.6
E05013498,Brondesbury Park,7766.3
E05013499,Cricklewood & Mapesbury,11378.1
E05013500,Dollis Hill,7231.6
E05013501,Harlesden & Kensal Green,12995
E05013502,Kenton (Brent),5722.5
E05013503,Kilburn (Brent),18262.1
E05013504,Kingsbury (Brent),8311.9
E05013505,Northwick Park,4899.8
E05013506,Preston (Brent),7286.6
E05013507,Queens Park (Brent),10422.8
E05013508,Queensbury (Brent),7978.6
E05013509,Roundwood,9078.4
E05013510,Stonebridge,5061.3
E05013511,Sudbury,8416.7
E05013512,Tokyngton,6876
E05013513,Welsh Harp,5010.6
E05013514,Wembley Central,10545.4
E05013515,Wembley Hill,9665.1
E05013516,Wembley Park,7574.5
E05013517,Willesden Green,12878.4
E05013518,Central Greenford,4496.4
E05013519,Dormers Wells,6727.7
E05013520,Ealing Broadway,7952.7
E05013521,Ealing Common,6681.6
E05013522,East Acton,8651.4
E05013523,Greenford Broadway,7396.2
E05013524,Hanger Hill,4979
E05013525,Hanwell Broadway,8240.4
E05013526,Lady Margaret,9129.6
E05013527,North Acton,4468.9
E05013528,North Greenford,4733.5
E05013529,North Hanwell,6804.5
E05013530,Northfield (Ealing),8521.5
E05013531,Northolt Mandeville,6230.5
E05013532,Northolt West End,4715.7
E05013533,Norwood Green,4397.1
E05013534,Perivale,4749.5
E05013535,Pitshanger,6888.7
E05013536,South Acton,12804.3
E05013537,Southall Broadway,11039.2
E05013538,Southall Green,10080.3
E05013539,Southall West,7920.3
E05013540,Southfield,10881.8
E05013541,Walpole,9455.9
E05013542,Belmont (Harrow),4874.9
E05013543,Canons,4845.9
E05013544,Centenary,7681.5
E05013545,Edgware (Harrow),9305.3
E05013546,Greenhill (Harrow),9519.5
E05013547,Harrow on the Hill,3165.1
E05013548,Harrow Weald,2939.4
E05013549,Hatch End,3399.4
E05013550,Headstone,4700.4
E05013551,Kenton East,8242.9
E05013552,Kenton West,6584.1
E05013553,Marlborough,9432.8
E05013554,North Harrow,6360.2
E05013555,Pinner,3125.8
E05013556,Pinner South,5140.8
E05013557,Rayners Lane,8091.2
E05013558,Roxbourne,9085.5
E05013559,Roxeth,8426.2
E05013560,Stanmore,1861.8
E05013561,Wealdstone North,10986.8
E05013562,Wealdstone South,9561.4
E05013563,West Harrow,8804.6
E05013564,Belmore,7780.4
E05013565,Charville,4325
E05013566,Colham & Cowley,4157.6
E05013567,Eastcote,4673.1
E05013568,Harefield Village,659
E05013569,Hayes Town,3906.6
E05013570,Heathrow Villages,597.1
E05013571,Hillingdon East,3451
E05013572,Hillingdon West,4848.4
E05013573,Ickenham & South Harefield,1173.8
E05013574,Northwood (Hillingdon),1755.8
E05013575,Northwood Hills,4096.1
E05013576,Pinkwell,5224.7
E05013577,Ruislip,1785
E05013578,Ruislip Manor,6240.4
E05013579,South Ruislip,2497.8
E05013580,Uxbridge,4224.4
E05013581,West Drayton,5274.3
E05013582,Wood End,5558.6
E05013583,Yeading,5348.4
E05013584,Yiewsley,3847.9
E05013585,Alexandra Park,3649.5
E05013586,Bounds Green,8877.8
E05013587,Bruce Castle,9387.1
E05013588,Crouch End,8264.1
E05013589,Fortis Green,6525.8
E05013590,Harringay,9187.7
E05013591,Hermitage & Gardens,9928.2
E05013592,Highgate (Haringey),4614.1
E05013593,Hornsey,10970.4
E05013594,Muswell Hill,6880
E05013595,Noel Park,11432.4
E05013596,Northumberland Park,6966.2
E05013597,St Ann's (Haringey),15965.6
E05013598,Seven Sisters,13505.8
E05013599,South Tottenham,13058.8
E05013600,Stroud Green,10782.3
E05013601,Tottenham Central,14705.2
E05013602,Tottenham Hale,11823.8
E05013603,West Green,9962.7
E05013604,White Hart Lane,10605.9
E05013605,Woodside (Haringey),10257
E05013606,Bedfont,2801.2
E05013607,Brentford East,10303.5
E05013608,Brentford West,5492.5
E05013609,Chiswick Gunnersbury,4670.4
E05013610,Chiswick Homefields,4614.1
E05013611,Chiswick Riverside,9481.8
E05013612,Cranford,5085.5
E05013613,Feltham North,5293.5
E05013614,Feltham West,5101.4
E05013615,Hanworth Park,3432.4
E05013616,Hanworth Village,4224
E05013617,Heston Central,8635.8
E05013618,Heston East,6191.7
E05013619,Heston West,4270.3
E05013620,Hounslow Central,12535.6
E05013621,Hounslow East,10051
E05013622,Hounslow Heath,5776.6
E05013623,Hounslow South,6797.2
E05013624,Hounslow West,9979.9
E05013625,Isleworth,6882.6
E05013626,Osterley & Spring Grove,2327.2
E05013627,Syon & Brentford Lock,5719.6
E05013628,Barnet Vale,4795.7
E05013629,Brunswick Park,5348.6
E05013630,Burnt Oak,8602.4
E05013631,Childs Hill,6692.5
E05013632,Colindale North,11510.9
E05013633,Colindale South,12683.3
E05013634,Cricklewood,5364.7
E05013635,East Barnet,4684.6
E05013636,East Finchley,6772.9
E05013637,Edgware (Barnet),5980.5
E05013638,Edgwarebury,1686.9
E05013639,Finchley Church End,6282.5
E05013640,Friern Barnet,7053
E05013641,Garden Suburb,2857.4
E05013642,Golders Green,8987.5
E05013643,Hendon (Barnet),6559.7
E05013644,High Barnet,1469.8
E05013645,Mill Hill (Barnet),2323.8
E05013646,Totteridge & Woodside,1516.2
E05013647,Underhill,4865.3
E05013648,West Finchley,7963.4
E05013649,West Hendon,5475.2
E05013650,Whetstone,4513.2
E05013651,Woodhouse (Barnet),6321.7
E05013652,Belsize,12270.8
E05013653,Bloomsbury,8975.8
E05013654,Camden Square,16202.8
E05013655,Camden Town,10562.1
E05013656,Fortune Green,11206
E05013657,Frognal,6691.2
E05013658,Gospel Oak,14429.8
E05013659,Hampstead Town,3630
E05013660,Haverstock,16456.6
E05013661,Highgate (Camden),3172.6
E05013662,Holborn & Covent Garden,9340.8
E05013663,Kentish Town North,12924
E05013664,Kentish Town South,12688.4
E05013665,Kilburn (Camden),18360.5
E05013666,King's Cross,10634.6
E05013667,Primrose Hill,9412.4
E05013668,Regent's Park (Camden),8836.7
E05013669,St Pancras & Somers Town,15177.1
E05013670,South Hampstead,15135.6
E05013671,West Hampstead,13766.7
E05013672,Arnos Grove,4628
E05013673,Bowes,8384.6
E05013674,Brimsdown,3522.9
E05013675,Bullsmoor,6339.8
E05013676,Bush Hill Park,5587.2
E05013677,Carterhatch,6756.4
E05013678,Cockfosters,1090.5
E05013679,Edmonton Green,5827
E05013680,Enfield Lock,5459.6
E05013681,Grange Park,3818.3
E05013682,Haselbury,9092
E05013683,Highfield (Enfield),5586.2
E05013684,Jubilee (Enfield),5630.6
E05013685,Lower Edmonton,8804.9
E05013686,New Southgate,10966
E05013687,Oakwood (Enfield),4541.1
E05013688,Palmers Green,7458
E05013689,Ponders End,3999.9
E05013690,Ridgeway (Enfield),1129.5
E05013691,Southbury,7611.3
E05013692,Southgate (Enfield),6149.1
E05013693,Town (Enfield),6508.4
E05013694,Upper Edmonton,7282.4
E05013695,Whitewebbs,1326.7
E05013696,Winchmore Hill,4886.5
E05013697,Arsenal,16088.5
E05013698,Barnsbury,13010
E05013699,Bunhill,13207.1
E05013700,Caledonian,13141.5
E05013701,Canonbury,14639.4
E05013702,Clerkenwell,11727.4
E05013703,Finsbury Park,17400.5
E05013704,Highbury,12736.8
E05013705,Hillrise,14779.8
E05013706,Holloway,16321.1
E05013707,Junction,12142.5
E05013708,Laycock,14397.1
E05013709,Mildmay,15782.1
E05013710,St Mary's & St James' (Islington),15785.4
E05013711,St Peter's & Canalside,17869
E05013712,Tollington,16805.9
E05013713,Tufnell Park,14632.3
E05013714,Bellingham (Lewisham),4770.5
E05013715,Blackheath (Lewisham),6736
E05013716,Brockley,10358.2
E05013717,Catford South,7271.4
E05013718,Crofton Park,8946.3
